Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Countertop Oven,8,147,146,171,171,171,127,171,0.000%,.00901,0.01,0.01
UtilitySink,10,154,146,187,187,226,103,226,0.000%,.01157,0.02,0.01
BeerDispenser,9,150,147,179,182,182,113,182,0.000%,.01103,0.02,0.01
ImmersionBlender,9,129,138,148,172,172,92,172,0.000%,.01136,0.02,0.01
CenterFaucets,9,146,145,157,176,176,130,176,0.000%,.01316,0.02,0.01
SteamTable,6,152,151,167,191,191,111,191,0.000%,.00961,0.01,0.01
RefrigeratorLEDLighting,3,133,140,147,147,147,113,147,0.000%,.00735,0.01,0.01
Hands-FreeDispensing,7,142,134,167,175,175,112,175,0.000%,.01144,0.02,0.01
ReachInRefrigerator,14,148,148,165,165,171,128,171,0.000%,.02160,0.03,0.02
TOTAL,75,145,146,174,179,191,92,226,0.000%,.08445,0.11,0.07
