Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Countertop Oven,8,147,127,171,15.86,0.000%,.00901,0.01,0.01,1389.8
UtilitySink,10,154,103,226,36.20,0.000%,.01157,0.02,0.01,1399.9
BeerDispenser,9,150,113,182,20.92,0.000%,.01103,0.02,0.01,1397.9
ImmersionBlender,9,129,92,172,24.43,0.000%,.01136,0.02,0.01,1389.8
CenterFaucets,9,146,130,176,13.11,0.000%,.01316,0.02,0.01,1364.7
SteamTable,6,152,111,191,25.34,0.000%,.00961,0.01,0.01,1390.8
RefrigeratorLEDLighting,3,133,113,147,14.66,0.000%,.00735,0.01,0.01,1400.0
Hands-FreeDispensing,7,142,112,175,21.03,0.000%,.01144,0.02,0.01,1437.7
ReachInRefrigerator,14,148,128,171,12.68,0.000%,.02160,0.03,0.02,1385.7
TOTAL,75,145,92,226,23.09,0.000%,.08445,0.11,0.07,1393.3
